tournament_id,tournament_url,art_used,table_index,rank,title,player_name,fed,num_rounds,round_results,points,TB1,TB2,TB3
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,1,GM,KAZAKOUSKI Valery,LTU,10,"['157b1', '84w1', '25b1', '23w1', '33b1', '2w½', '14b½', '8w1', '6b1', '15w1']",9.0,0.0,55.0,69.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,2,IM,PETRIASHVILI Nikoloz,GEO,10,"['166b1', '101w1', '39b1', '12w1', '94b1', '1b½', '6w½', '36w1', '33b1', '9w½']",8.5,0.0,52.0,65.5
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,3,IM,BEN ARI Yannay,ISR,10,"['321b1', '107w½', '44b½', '171w1', '85b1', '41w1', '92b½', '15w½', '58b1', '14w1']",8.0,3.0,48.0,59.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,4,GM,SUMETS Andrey,UKR,10,"['167b1', '185w1', '34b½', '60w½', '97b1', '95w1', '40b1', '14w½', '8b½', '26w1']",8.0,4.0,50.0,62.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,5,GM,ASIS GARGATAGLI Hipolito,CAT,10,"['113b1', '118w1', '180b1', '57w½', '34b½', '13w1', '17b½', '58w½', '12b½', '41w1']",7.5,5.0,50.5,63.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,6,GM,SUPI Luis Paulo,BRA,10,"['206w+', '115b1', '51w1', '17b1', '40w½', '9w1', '2b½', '18b1', '1w0', '7b½']",7.5,6.0,56.0,69.5
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,7,IM,DIAZ CAMALLONGA Carles,CAT,10,"['211b1', '105w1', '58b½', '150w1', '57b0', '39w1', '60b1', '17w1', '14b½', '6w½']",7.5,7.0,50.5,62.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,8,GM,PERALTA Fernando,ARG,10,"['192b1', '104w1', '20b1', '14w½', '63b1', '57w1', '15b½', '1b0', '4w½', '48w1']",7.5,8.0,53.0,66.5
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,9,IM,ROZEN Eytan,ISR,10,"['227w½', '231b1', '80w1', '47b1', '67w1', '6b0', '16w1', '37b½', '19w1', '2b½']",7.5,0.0,50.0,62.5
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,10,FM,KOLB Tobias,GER,10,"['281w1', '89b½', '72w1', '70b½', '66w½', '93b1', '42w½', '16b1', '18w½', '35b1']",7.5,0.0,49.5,60.5
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,11,GM,ALSINA LEAL Daniel,CAT,10,"['99w1', '93b1', '35w½', '42b1', '37w½', '16b0', '145w½', '178b1', '68w1', '23b1']",7.5,0.0,49.0,61.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,12,GM,NARCISO DUBLAN Marc,CAT,10,"['251w1', '154b1', '110w1', '2b0', '183w½', '80b½', '94w1', '42b1', '5w½', '33w1']",7.5,0.0,46.5,59.5
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,13,FM,BOTTAZZI Ulysse,FRA,10,"['265w1', '252b½', '129w1', '59b½', '130w1', '5b0', '187w½', '132b1', '92w1', '38w1']",7.5,0.0,41.5,53.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,14,GM,SANIKIDZE Tornike,GEO,10,"['134w1', '87b1', '222w1', '8b½', '58w1', '22b1', '1w½', '4b½', '7w½', '3b0']",7.0,0.0,55.0,69.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,15,GM,ADHIBAN B.,IND,10,"['337w1', '178b1', '16w½', '50b1', '19w1', '40b½', '8w½', '3b½', '37w1', '1b0']",7.0,0.0,54.5,67.5
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,16,FM,ALCALA GONZALEZ Cesar,CAT,10,"['169b1', '106w1', '15b½', '52w1', '21b½', '11w1', '9b0', '10w0', '65b1', '63w1']",7.0,0.0,53.0,65.5
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,17,FM,RUIZ BUENDIA Miguel,ESP,10,"['181b1', '102w1', '184b1', '6w0', '104b1', '34w1', '5w½', '7b0', '46w1', '22b½']",7.0,0.0,51.0,63.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,18,FM,MANUKYAN Sargis A.,ARM,10,"['205b1', '238w1', '33b0', '151w1', '38b1', '48w1', '21b1', '6w0', '10b½', '28w½']",7.0,0.0,50.5,62.5
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,19,FM,GARCIA BLANCO Omar,ESP,10,"['229b½', '149w1', '53b1', '77w1', '15b0', '185w1', '35b½', '21w1', '9b0', '61w1']",7.0,0.0,50.0,62.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,20,IM,VALENZUELA GOMEZ Fernando,CHI,10,"['339w1', '127b1', '8w0', '194b1', '73w1', '43b½', '23w½', '28b0', '72w1', '75b1']",7.0,0.0,48.5,60.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,21,IM,DIAZ PEREZ Michel Alejandro,CUB,10,"['182w1', '64b½', '82w1', '135b1', '16w½', '94b1', '18w0', '19b0', '140w1', '39w1']",7.0,0.0,48.5,60.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,22,GM,PULTINEVICIUS Paulius,LTU,10,"['141b1', '197w1', '57b0', '107w1', '61b1', '14w0', '97b1', '32w½', '47b1', '17w½']",7.0,0.0,48.0,59.5
