tournament_id,tournament_url,art_used,table_index,rank,title,player_name,fed,num_rounds,round_results,points,TB1,TB2,TB3
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,15,GM,ADHIBAN B.,IND,10,"['337w1', '178b1', '16w½', '50b1', '19w1', '40b½', '8w½', '3b½', '37w1', '1b0']",7.0,0.0,54.5,67.5
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,31,IM,KRISHNA TEJA N,IND,10,"['207b1', '120w½', '96b0', '167w1', '179b0', '113w1', '125b1', '105w½', '143b1', '64w1']",7.0,0.0,42.5,53.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,35,,BIVOR Adak,IND,10,"['76b1', '165w1', '11b½', '24w½', '26b½', '136w1', '19w½', '43b½', '95b1', '10w0']",6.5,0.0,51.5,64.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,53,,MAJUMDER Shrayan,IND,10,"['282w1', '78b½', '19w0', '69b½', '228w1', '182b½', '142w1', '135b½', '67w1', '50b½']",6.5,0.0,43.5,54.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,65,,OM Batra,IND,10,"['296w1', '42b½', '112w½', '30b½', '145w½', '45b½', '180w1', '86b½', '16w0', '163b+']",6.0,0.0,48.0,58.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,90,,PRUTHU Deshpande,IND,10,"['98w0', '247b1', '103w½', '72b0', '302w1', '82b0', '217w1', '252b1', '222w+', '66w½']",6.0,0.0,40.5,49.0
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,99,,MANUKONDA Arun,IND,10,"['11b0', '119w1', '199b1', '299w½', '77b1', '29w½', '41b0', '107w½', '118b0', '180w+']",5.5,0.0,45.0,56.5
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,106,,DAKSH Jain,IND,10,"['309w1', '16b0', '286w1', '45b½', '222w½', '30b0', '146w½', '210b1', '144b1', '47w0']",5.5,0.0,43.0,52.5
tnr1134410,https://s3.chess-results.com/tnr1134410.aspx?SNode=S0&lan=1&art=4,4,4,148,CM,DAHALE Atul,IND,10,"['302w1', '23b0', '209w½', '220b1', '50w0', '69b½', '225w½', '134b1', '78w½', '67b0']",5.0,0.0,42.0,51.5
tnr1264363,https://s1.chess-results.com/tnr1264363.aspx?lan=1&SNode=S0&art=4,4,4,12,FM,Apaar Saxena,IND,10,"['384b1', '69w1', '25b½', '88w1', '43b0', '160w1', '32b1', '24w½', '57b1', 7]",0.0,48.0,9.0,38.5
tnr1264363,https://s1.chess-results.com/tnr1264363.aspx?lan=1&SNode=S0&art=4,4,4,28,IM,Srihari L,IND,10,"['293w1', '178b1', '198w1', '2b0', '197w1', '7b½', '91w½', '37w½', '105b1', 65]",0.0,46.0,9.0,33.0
tnr1264363,https://s1.chess-results.com/tnr1264363.aspx?lan=1&SNode=S0&art=4,4,4,35,IM,Ajay Krishna S,IND,10,"['275b1', '295w1', '159b0', '209w1', '261b1', '43w½', '42b1', '30w1', '3b0', 65]",0.0,44.0,9.0,32.5
tnr1264363,https://s1.chess-results.com/tnr1264363.aspx?lan=1&SNode=S0&art=4,4,4,43,GM,Narayanan S L,IND,10,"['285w1', '170b1', '47w½', '85b½', '12w1', '35b½', '46w½', '166b1', '20w0', 6]",0.0,48.0,9.0,33.0
tnr1264363,https://s1.chess-results.com/tnr1264363.aspx?lan=1&SNode=S0&art=4,4,4,44,IM,Audi Ameya,IND,10,"['348b½', '233w1', '152b1', '113w1', '7w½', '68b1', '149w1', '5w0', '17b0', 6]",0.0,48.0,9.0,322.5
tnr1264363,https://s1.chess-results.com/tnr1264363.aspx?lan=1&SNode=S0&art=4,4,4,53,IM,Moksh Amit Doshi,IND,10,"['255w1', '147b1', '260w1', '3w½', '8b0', '101w0', '220b1', '146b1', '49w½', 6]",0.0,45.0,9.0,297.5
tnr1264363,https://s1.chess-results.com/tnr1264363.aspx?lan=1&SNode=S0&art=4,4,4,80,CM,Advik Amit Agrawal,IND,10,"['350b1', '182w1', '29b½', '64w½', '60b0', '180w1', '19b0', '174w1', '90w½', 55]",0.0,46.0,9.0,27.5
tnr1264363,https://s1.chess-results.com/tnr1264363.aspx?lan=1&SNode=S0&art=4,4,4,87,FM,Dinesh Rajan M,IND,10,"['223b1', '318w1', '8b½', '61w0', '108b1', '39w0', '174b½', '180w1', '94b½', 55]",0.0,45.0,9.0,272.5
tnr1264363,https://s1.chess-results.com/tnr1264363.aspx?lan=1&SNode=S0&art=4,4,4,88,IM,Avinash Ramesh,IND,10,"['307b1', '220w½', '372b+', '12b0', '152w1', '120w0', '99b1', '113w½', '98b½', 55]",0.0,44.0,9.0,277.5
tnr1264363,https://s1.chess-results.com/tnr1264363.aspx?lan=1&SNode=S0&art=4,4,4,99,CM,Mani Sarbartho,IND,10,"['377w1', '9b½', '229w1', '33b0', '122w½', '123b½', '88w0', '336b1', '249w1', 55]",0.0,43.0,9.0,25.0
tnr1264363,https://s1.chess-results.com/tnr1264363.aspx?lan=1&SNode=S0&art=4,4,4,101,CM,Yohan Yadav Tarala,IND,10,"['299w1', '319b½', '343w1', '54b0', '116w1', '53b1', '58w½', '56b0', '109w½', 55]",0.0,42.5,9.0,26.5
tnr1264363,https://s1.chess-results.com/tnr1264363.aspx?lan=1&SNode=S0&art=4,4,4,104,WIM,Mahalakshmi M,IND,10,"['390w1', '21b0', '322w1', '100b1', '107w1', '76b½', '56w0', '78b0', '227w1', 55]",0.0,42.5,9.0,247.5
tnr1264363,https://s1.chess-results.com/tnr1264363.aspx?lan=1&SNode=S0&art=4,4,4,106,,Arjun C Krishnamachari,IND,10,"['334b1', '41w0', '251b1', '164w1', '166b½', '18w0', '231b½', '222w1', '138b½', 55]",0.0,42.0,9.0,25.0
tnr1264363,https://s1.chess-results.com/tnr1264363.aspx?lan=1&SNode=S0&art=4,4,4,125,,Lokesh N.,IND,10,"['193w0', '299b1', '374w1', '59b½', '79w½', '323b½', '123w0', '214b1', '244w+', 55]",0.0,40.0,9.0,25.0
tnr1264363,https://s1.chess-results.com/tnr1264363.aspx?lan=1&SNode=S0&art=4,4,4,126,CM,Jagreet Misra,IND,10,"['309w1', '76b0', '338w1', '24b0', '293w1', '263b½', '51w½', '200b1', '97w½', 55]",0.0,40.0,9.0,242.5
