Feature,Importance
num__total_games_12m,0.4377684043721847
num__rating_start,0.13778381611844737
num__avg_opponent_rating_12m,0.13417762796888436
num__score_percentage_12m,0.06914531258052599
num__active_months_12m,0.06525552348150992
num__total_k_chg_12m,0.05948291315101694
num__calc_games_12m,0.04096385529298742
num__inactive_months_12m,0.021702073157492806
num__calc_tournaments_12m,0.021376581883743088
cat__Sex_M,0.002814024588735423
num__games_vs_2000plus_12m,0.0026973614826983397
cat__Sex_F,0.0024113500006820157
cat__rating_band_1600-1799,0.0023059706207616314
cat__rating_band_1400-1599,0.0011366511376995627
cat__rating_band_1800-1999,0.000978534162630462
cat__Title_FM,0.0
cat__Title_IM,0.0
cat__Title_WFM,0.0
cat__rating_band_2000+,0.0
